Date,Id,In-Time,Out-Time
2017-06-13,XLY618,13:04:12,22:09:10
2017-06-15,XLY618,12:50:52,22:24:22
2017-06-21,XLY618,12:54:38,22:05:05
2017-06-22,XLY618,13:10:13,22:04:31
2017-06-23,XLY618,9:33:38,17:58:13
2017-06-26,XLY618,13:00:22,22:12:30
2017-06-27,XLY618,13:15:49,22:08:05
2017-06-28,XLY618,13:08:05,22:06:10
2017-06-29,XLY618,12:48:02,21:51:04
2017-06-30,XLY618,9:24:16,18:10:13
2017-07-03,XLY618,12:53:22,22:09:29
2017-07-04,XLY618,13:10:05,22:06:39
2017-07-05,XLY618,12:57:24,22:08:30
2017-07-06,XLY618,12:36:17,22:02:50
2017-07-07,XLY618,9:33:49,17:53:41
2017-07-10,XLY618,12:50:05,22:27:18
2017-07-11,XLY618,13:23:11,22:05:04
2017-07-12,XLY618,13:05:25,22:06:14
2017-07-13,XLY618,13:02:30,22:00:06
2017-07-14,XLY618,9:26:10,18:05:21
2017-07-17,XLY618,13:00:41,22:08:01
2017-07-18,XLY618,13:06:05,22:11:34
2017-07-19,XLY618,13:08:44,22:15:48
2017-07-21,XLY618,9:12:49,18:17:05
2017-07-24,XLY618,13:16:58,22:13:50
2017-07-25,XLY618,13:03:41,22:05:18
2017-07-26,XLY618,12:57:06,22:10:36
2017-07-27,XLY618,12:41:59,22:09:00
2017-07-28,XLY618,9:12:43,17:44:35
2017-07-31,XLY618,12:55:36,22:14:34
2017-08-01,XLY618,13:14:53,22:22:19
2017-08-02,XLY618,12:58:45,22:32:51
2017-08-03,XLY618,13:04:23,22:01:56
2017-08-04,XLY618,9:21:24,18:10:23
2017-08-07,XLY618,13:02:12,22:06:48
2017-08-08,XLY618,12:32:15,22:02:58
2017-08-09,XLY618,12:53:31,22:08:05
2017-08-10,XLY618,13:03:50,22:04:13
2017-08-11,XLY618,9:28:14,18:17:11
2017-08-14,XLY618,13:04:38,22:06:17
2017-08-15,XLY618,13:10:52,22:10:27
2017-08-16,XLY618,12:58:08,22:01:45
2017-08-17,XLY618,13:16:35,22:02:54
2017-08-18,XLY618,9:19:37,18:02:24
2017-08-21,XLY618,13:06:51,22:08:12
2017-08-22,XLY618,13:04:21,22:00:56
2017-08-23,XLY618,13:00:53,22:02:41
2017-08-25,XLY618,9:24:15,17:25:32
2017-08-28,XLY618,11:44:44,22:05:20
2017-08-29,XLY618,11:47:16,22:21:43
2017-08-30,XLY618,13:01:42,22:03:59
2017-08-31,XLY618,12:59:25,22:06:41
2017-09-01,XLY618,9:16:23,18:03:38
2017-09-05,XLY618,13:09:39,22:00:20
2017-09-06,XLY618,12:55:33,22:05:51
2017-09-07,XLY618,12:59:21,22:04:40
2017-09-08,XLY618,9:23:19,18:01:31
2017-09-11,XLY618,13:00:45,22:03:25
2017-09-12,XLY618,12:52:24,22:00:33
2017-09-13,XLY618,12:52:48,22:06:26
2017-09-14,XLY618,13:01:32,22:04:10
2017-09-15,XLY618,9:22:05,18:14:09
2017-09-18,XLY618,13:07:06,22:02:48
2017-09-19,XLY618,13:02:20,22:00:24
2017-09-20,XLY618,13:31:33,22:00:03
2017-09-22,XLY618,9:20:43,18:01:45
2017-09-26,XLY618,17:22:07,22:00:06
2017-10-04,XLY618,12:52:57,21:59:58
2017-10-05,XLY618,12:51:33,22:03:06
2017-10-06,XLY618,9:15:21,18:00:29
2017-10-09,XLY618,13:03:51,22:01:07
2017-10-10,XLY618,12:59:19,22:01:02
2017-10-11,XLY618,13:05:20,22:02:08
2017-10-12,XLY618,12:59:53,22:02:04
2017-10-13,XLY618,9:12:02,17:58:37
2017-10-16,XLY618,13:01:08,22:04:44
2017-10-17,XLY618,12:57:26,22:00:56
2017-10-18,XLY618,12:54:38,22:01:48
2017-10-24,XLY618,13:05:58,22:01:38
2017-10-25,XLY618,12:59:04,22:01:13
2017-10-26,XLY618,13:03:53,22:00:17
2017-10-27,XLY618,9:16:32,17:30:47
2017-10-30,XLY618,13:12:15,21:59:19
2017-10-31,XLY618,12:58:24,22:00:39
2017-11-01,XLY618,13:02:10,22:00:03
2017-11-02,XLY618,12:54:12,22:00:46
2017-11-03,XLY618,9:10:27,17:01:38
2017-11-06,XLY618,12:58:21,21:56:43
2017-11-07,XLY618,13:32:19,22:02:16
2017-11-08,XLY618,12:59:10,22:02:51
2017-11-09,XLY618,13:03:19,22:08:23
2017-11-10,XLY618,9:15:53,16:59:58
2017-11-13,XLY618,13:04:27,21:52:37
2017-11-14,XLY618,12:46:40,22:07:27
2017-11-15,XLY618,11:54:05,22:00:41
2017-11-17,XLY618,9:26:16,18:26:25
2017-11-20,XLY618,12:50:25,22:00:46
2017-11-21,XLY618,12:53:43,21:54:24
2017-11-22,XLY618,12:58:15,22:00:07
2017-11-23,XLY618,12:57:45,22:02:39
2017-11-24,XLY618,9:26:28,17:16:46
2017-11-27,XLY618,12:56:23,21:59:38
2017-11-28,XLY618,13:02:48,22:01:09
2017-11-29,XLY618,12:57:27,22:00:13
2017-11-30,XLY618,12:54:36,21:58:44
2017-12-01,XLY618,9:20:49,18:01:36
2017-12-04,XLY618,9:28:52,18:05:03
2017-12-05,XLY618,9:26:06,18:01:50
2017-12-06,XLY618,9:12:45,18:09:32
2017-12-08,XLY618,9:29:47,18:28:06
2017-12-11,XLY618,9:26:37,18:19:43
2017-12-12,XLY618,9:30:49,18:38:43
2017-12-13,XLY618,9:30:28,18:14:02
2017-12-14,XLY618,9:26:07,18:30:42
2017-12-18,XLY618,9:31:12,18:40:03
2017-12-21,XLY618,9:28:15,18:22:04
2017-12-22,XLY618,9:39:24,18:34:04
2017-12-25,XLY618,9:26:42,18:33:30
2017-12-26,XLY618,9:33:00,19:37:01
2017-12-27,XLY618,9:33:13,18:48:28
2017-12-29,XLY618,9:33:00,18:23:55
2017-05-22,JARRG0,6:59:03,13:55:50
2017-05-23,JARRG0,6:58:31,16:18:29
2017-05-24,JARRG0,6:57:27,16:04:10
2017-05-25,JARRG0,7:02:37,16:12:20
2017-05-26,JARRG0,7:06:14,16:53:37
2017-05-29,JARRG0,6:36:38,15:59:55
2017-05-30,JARRG0,7:04:18,15:59:31
